Codepoint,Count
32,123320760
10,19477661
51060,10764068
45796,8584827
51032,8558982
46,8223019
49,7843139
50640,7105719
48,6160916
44,6147863
45716,6142586
50,5752238
47196,5601260
54616,4867178
41,4732561
40,4729862
45380,4393056
44032,4281430
51012,4166531
54620,4102041
51648,4043012
49324,3840262
57,3837446
44592,3823591
49828,3801936
47532,3764720
44256,3763401
45824,3706269
49436,3666424
49884,3527584
51008,3228079
101,3220611
51064,3048705
51068,3007922
46020,2938772
50500,2851767
51088,2749092
49688,2727866
51004,2681599
44397,2639470
47484,2555647
97,2552387
46972,2522580
48512,2396174
105,2324137
51452,2272385
111,2230549
50612,2228753
51204,2212708
51,2156837
51221,2144069
45208,2142415
110,2131429
51228,2035361
114,2013647
56,1969365
44396,1968242
44536,1948919
116,1911711
51080,1905691
45,1877715
53,1874282
50900,1860740
52,1842650
44284,1796159
54,1727975
51109,1721348
54644,1716072
49345,1686929
55,1682482
49440,1682087
46041,1672595
46104,1624395
58,1618481
49457,1617014
54617,1592360
47560,1591606
115,1579092
46300,1566593
53944,1565676
54868,1565550
48120,1548581
50896,1541797
44368,1502291
50669,1487784
50632,1459317
108,1435804
50864,1433261
50668,1404559
46308,1398446
48372,1394458
44277,1390155
50948,1350601
50689,1344161
44221,1307180
50724,1285463
50752,1277172
51201,1271801
51312,1249797
49548,1246743
48708,1221346
49888,1211409
49464,1192781
50976,1189130
44172,1176331
50672,1173713
51473,1161135
54664,1152539
47928,1145166
54924,1141983
47564,1078606
48124,1074522
52824,1073379
83,1049568
54532,1049452
44060,1048504
47476,1048398
47749,1013611
53356,998658
44288,993910
44228,993500
47112,974982
99,965916
53440,951439
51652,948582
109,944633
50688,938463
45768,937174
52852,933056
47728,926446
47784,924063
53552,921720
117,905233
46321,899899
51089,898771
104,886329
54980,879117
100,868493
49328,866025
49373,863238
44400,861461
67,854750
50857,850323
52636,844664
46108,842607
47732,841473
47924,829185
48169,811964
51020,805590
51116,797755
48156,793289
45224,790707
65,790421
34,773062
45800,759244
44144,756149
45817,754105
66,737211
47084,736967
45432,730824
44163,727450
54252,722944
48148,715788
54840,711710
48152,700943
53685,695576
54788,693425
45936,690096
50504,682002
48376,677001
84,667427
44036,666175
54665,665139
52264,663676
49885,651716
47932,649754
53076,647827
50836,645604
103,644144
52404,636566
12298,634589
12299,634480
44033,631602
48516,629255
77,626496
50868,622742
50556,621925
54028,621683
50808,615589
51076,614069
53664,607021
53412,596607
45236,594230
48176,591150
39,579505
49444,577178
126,569254
51333,568711
46356,559462
112,555957
50577,555767
50629,542873
47336,539877
121,530768
49892,527361
124,521687
52629,520381
44053,515251
49549,504428
54624,504030
70,502867
48260,494332
54364,493442
73,490079
47700,485529
54805,484823
44208,481441
46021,477089
80,475177
55176,469539
46160,461885
69,460994
68,460157
49849,458009
44057,456906
52488,456570
54632,454189
48652,448739
48277,444117
47000,442661
46412,433946
54588,433805
44148,429958
53468,427614
47141,424690
102,423710
54000,423150
52380,418524
48288,415056
47197,414852
50696,413917
46988,413906
45912,406948
52572,405811
54633,403653
47140,402325
51592,398233
107,395264
47588,393919
78,390423
44608,389755
75,389362
51649,389113
98,387622
45908,386691
48264,382714
51077,381195
82,379115
51216,377390
76,374692
79,372684
52397,371352
47549,371236
44048,365566
47,365231
48520,362503
47553,361523
45348,358643
47785,357918
44428,352191
52280,350335
53945,349705
44620,342148
54032,341910
53804,340890
54168,338748
50773,333482
54637,332602
45804,332503
47536,331945
49569,331359
44552,329944
53580,328476
50557,327709
48513,327356
47480,323475
54200,322907
