Order,Next,Count
1,9,31
1,32,1775287
1,33,323
1,34,8894
1,35,129
1,36,49
1,37,1934
1,38,276
1,39,8911
1,40,66049
1,41,66105
1,42,153
1,43,788
1,44,86791
1,45,43713
1,46,147662
1,47,2952
1,48,61326
1,49,112106
1,50,64169
1,51,29280
1,52,25489
1,53,26983
1,54,24766
1,55,24727
1,56,31018
1,57,64350
1,58,10787
1,59,611
1,60,1298
1,61,869
1,62,1367
1,63,527
1,64,33
1,65,6340
1,66,4506
1,67,6427
1,68,4279
1,69,3350
1,70,3444
1,71,2905
1,72,2694
1,73,4178
1,74,1276
1,75,2381
1,76,3047
1,77,4849
1,78,3707
1,79,3351
1,80,5185
1,81,301
1,82,2887
1,83,7088
1,84,5041
1,85,1889
1,86,2028
1,87,1702
1,88,1102
1,89,538
1,90,333
1,91,332
1,92,19
1,93,337
1,94,28
1,95,95
1,96,64
1,97,22319
1,98,3588
1,99,9499
1,100,8021
1,101,30883
1,102,3823
1,103,5331
1,104,7887
1,105,22217
1,106,381
1,107,3178
1,108,12457
1,109,8946
1,110,20321
1,111,19273
1,112,5252
1,113,404
1,114,19210
1,115,15671
1,116,17783
1,117,8945
1,118,2838
1,119,1948
1,120,1137
1,121,4514
1,122,1060
1,123,115
1,124,752
1,125,125
1,126,14407
1,160,1033
1,163,2
1,165,6
1,167,1
1,171,12
1,173,2
1,176,325
1,177,19
1,178,26
1,179,12
1,180,11
1,181,16
1,183,5547
1,185,5
1,186,4
1,187,12
1,189,9
1,192,8
1,193,4
1,194,1
1,196,3
1,197,8
1,198,2
1,199,5
1,201,31
1,202,2
1,208,1
1,211,3
1,213,1
1,214,6
1,215,168
1,216,5
1,218,2
1,220,29
1,222,4
1,223,14
1,224,17
1,225,111
1,226,10
1,227,26
1,228,127
1,229,3
1,230,17
1,231,38
1,232,61
1,233,415
1,234,16
1,235,8
1,236,2
1,237,35
1,238,5
1,239,4
1,240,3
1,241,7
1,243,55
1,244,18
1,246,113
1,247,12
1,248,7
1,250,34
1,251,1
1,252,129
1,253,3
1,257,19
1,259,1
1,261,2
1,263,2
1,264,1
1,265,6
1,268,3
1,269,6
1,273,1
1,275,8
1,277,1
1,281,2
1,283,1
1,284,1
1,285,5
1,287,2
1,292,1
1,293,3
1,295,1
1,299,9
1,304,4
1,305,23
1,308,1
1,309,4
1,320,2
1,321,1
1,322,13
1,324,1
1,331,1
1,333,16
1,335,4
1,337,11
1,338,2
1,339,6
1,345,2
1,348,1
1,349,2
1,350,3
1,351,8
1,353,1
1,363,4
1,364,1
1,365,4
1,369,1
1,381,1
1,382,2
1,447,1
1,464,1
1,483,1
1,490,2
1,541,1
1,563,1
1,601,4
1,603,1
1,605,1
1,618,3
1,640,2
1,650,2
1,699,3
1,700,2
1,702,1
1,711,1
1,712,4
1,715,1
1,720,4
1,728,1
1,729,2
1,730,13
1,733,6
1,769,2
1,880,1
1,881,1
1,882,1
1,883,1
1,886,1
1,887,1
1,902,4
1,906,1
1,912,1
1,913,36
1,914,23
1,915,16
1,916,45
1,917,23
1,918,8
1,919,6
1,920,13
1,921,30
1,922,30
1,923,20
1,924,15
1,925,6
1,927,4
1,928,27
1,929,8
1,931,13
1,932,9
1,934,5
1,935,1
1,936,1
1,937,4
1,940,52
1,941,29
1,942,23
1,943,40
1,945,238
1,946,28
1,947,70
1,948,41
1,949,66
1,950,7
1,951,59
1,952,70
1,953,117
1,954,73
1,955,98
1,956,69
1,957,177
1,958,6
1,959,215
1,960,79
1,961,80
1,962,179
1,963,66
1,964,97
1,965,35
1,966,32
1,967,12
1,968,11
1,969,66
1,972,69
1,973,21
1,974,12
1,981,4
1,984,1
1,985,1
1,986,1
1,987,1
1,988,1
1,989,1
1,990,1
1,991,1
1,992,1
1,993,1
1,1015,1
1,1016,1
1,1018,1
1,1019,1
1,1040,3
1,1041,5
1,1042,3
1,1043,4
1,1044,4
1,1045,2
1,1046,3
1,1047,1
1,1048,7
1,1050,11
1,1051,1
1,1052,2
1,1053,6
1,1054,3
1,1055,4
1,1056,7
1,1057,10
1,1058,1
1,1059,2
1,1060,1
1,1062,5
1,1063,4
1,1064,4
1,1070,5
1,1071,2
1,1072,57
1,1073,12
1,1074,19
1,1075,8
1,1076,10
1,1077,35
1,1078,2
1,1079,6
1,1080,58
1,1081,29
1,1082,32
1,1083,20
1,1084,13
1,1085,43
1,1086,40
1,1087,4
1,1088,41
1,1089,43
1,1090,17
1,1091,21
1,1093,3
1,1094,3
1,1095,8
