Position,Token,Value
0,0,-1.0052298892245415
0,1,-0.60534657032837358
0,2,0.79728025744918729
0,3,0.79938520002851388
0,4,0.34756169588520835
0,5,-0.058982026172559467
0,6,-0.52810150315866833
0,7,-1.1052927080970565
0,8,-0.40302297956802519
0,9,-0.98021418450641329
0,10,-0.58033086561024494
1,0,-0.63589911674833599
1,1,-0.72924819260256679
1,2,1.1696743870028274
1,3,0.59468269846042288
1,4,0.24908784572461792
1,5,-0.41123189415657252
1,6,-0.58572918783318217
1,7,-0.76612270473497046
1,8,-0.42294970284988936
1,9,-0.60334321975167771
1,10,-0.6966922956059084
2,0,-0.69302943690970298
2,1,-0.70701662016353028
2,2,0.61222957732181804
2,3,0.99791777307182516
2,4,0.14782213368349786
2,5,-0.35894769204077837
2,6,-0.2429304579987947
2,7,-0.74828090583675166
2,8,-0.17386612183998387
2,9,-0.67921656967794086
2,10,-0.69320375293176828
3,0,-1.2451551546086843
3,1,-0.35647009639736826
3,2,0.92616315620020906
3,3,0.1540709555442793
3,4,0.73025161013071405
3,5,-1.0305095625482463
3,6,0.56973142692827439
3,7,-1.2358455610051429
3,8,0.5580944349238478
3,9,-1.2474825530095699
3,10,-0.35879749479825357
4,0,-0.23040737871900122
4,1,-0.64500416185409304
4,2,-0.22360193974592929
4,3,1.632897869712755
4,4,-0.77985011753053346
4,5,0.46167482414823502
4,6,-0.30582926050282233
4,7,-0.32525839521322525
4,8,-0.18726548988504224
4,9,-0.20669462459544521
4,10,-0.62129140773053704
5,0,-1.5062262339637387
5,1,-0.6088343233487975
5,2,-0.17093034308322649
5,3,0.20504425135456505
5,4,1.1457782265163499
5,5,-0.21405804645177642
5,6,0.95829449054494031
5,7,-1.5694299970396359
5,8,1.0372991943898116
5,9,-1.4904252931947646
5,10,-0.59303338257982319
